,close,high,low,open,timestamp,volume
0,193600,193600,193600,193600,1539406800000,0.00250000
1,193256,193998,193255,193599,1539410400000,0.42457494
2,193255,194700,193255,193500,1539414000000,2.97242137
3,193151,193260,193151,193260,1539417600000,0.76000000
4,193550,193550,193153,193153,1539421200000,0.01192550
5,193561,193561,193561,193561,1539424800000,0.00250000
6,193600,193600,193600,193600,1539428400000,0.00250000
7,193561,194189,193561,193600,1539432000000,0.38126938
8,193201,193561,193201,193561,1539435600000,0.00250000
9,193980,193980,193500,193500,1539442800000,0.14438964
10,194000,194000,193980,193980,1539446400000,1.37009278
11,193410,193600,193410,193600,1539457200000,0.58870000
12,194000,194000,193410,193410,1539464400000,0.10180000
13,193751,193751,193751,193751,1539471600000,0.07351187
14,193751,193751,193305,193751,1539475200000,0.07698813
15,193999,193999,193999,193999,1539478800000,0.02061866
16,193325,193352,193325,193352,1539482400000,0.31150000
17,193310,193325,193310,193325,1539486000000,0.09872992
18,194400,194400,194400,194400,1539489600000,0.10000000
19,194000,194000,193000,193400,1539493200000,0.43011855
20,194000,194000,194000,194000,1539496800000,0.10000000
21,193997,193997,193550,193550,1539500400000,0.05651145
22,192500,194470,192500,194470,1539504000000,1.1
23,193000,193000,193000,193000,1539507600000,0.06905192
24,193001,193001,193001,193001,1539511200000,0.04816742
25,194370,194370,194370,194370,1539522000000,0.13189855
26,193501,193550,193501,193550,1539525600000,1
27,194011,194011,193011,193801,1539529200000,0.14759000
28,194011,194011,193011,193011,1539532800000,0.03932213
29,193011,193015,193011,193015,1539536400000,0.06030000
30,192900,194000,192900,194000,1539554400000,0.02002564
31,192900,192900,192900,192900,1539558000000,0.05000000
32,193100,193100,192601,192856,1539561600000,1.3152
33,193890,193890,192500,192601,1539565200000,0.21513319
34,193000,193799,193000,193001,1539568800000,0.46661551
35,193001,193001,192530,193001,1539572400000,0.34364566
36,193799,193799,193001,193789,1539576000000,0.26357140
37,195999,195999,192511,192511,1539579600000,3.4959485
38,214480,214480,196300,196300,1539583200000,24.41965642
39,203699,215630,199700,215000,1539586800000,7.28812875
40,201998,203640,200000,203640,1539590400000,1.12817148
41,199801,201998,199801,201990,1539594000000,2.85632054
42,200000,202399,195000,199800,1539597600000,3.5040761
43,200222,201500,200000,200000,1539601200000,5.16930823
